TITLE,AUTHORS NAMES,ABSTRACT,LINK
Risk-Aware Distributed Multi-Agent Reinforcement Learning,"A. Maruf, Luyao Niu, Bhaskar Ramasubramanian, Andrew Clark, R. Poovendran","Autonomous cyber and cyber-physical systems need to perform decision-making, learning, and control in unknown environments. Such decision-making can be sensitive to multiple factors, including modeling errors, changes in costs, and impacts of events in the tails of probability distributions. Although multi-agent reinforcement learning (MARL) provides a framework for learning behaviors through repeated interactions with the environment by minimizing an average cost, it will not be adequate to overcome the above challenges. In this paper, we develop a distributed MARL approach to solve decision-making problems in unknown environments by learning risk-aware actions. We use the conditional value-at-risk (CVaR) to characterize the cost function that is being minimized, and define a Bellman operator to characterize the value function associated to a given state-action pair. We prove that this operator satisfies a contraction property, and that it converges to the optimal value function. We then propose a distributed MARL algorithm called the CVaR QD-Learning algorithm, and establish that value functions of individual agents reaches consensus. We identify several challenges that arise in the implementation of the CVaR QD-Learning algorithm, and present solutions to overcome these. We evaluate the CVaR QD-Learning algorithm through simulations, and demonstrate the effect of a risk parameter on value functions at consensus.",https://www.semanticscholar.org/paper/Risk-Aware-Distributed-Multi-Agent-Reinforcement-Maruf-Niu/02b78a9c5df4202fa5b364c3712df86e742bae5c
Risk-Sensitive Soft Actor-Critic for Robust Deep Reinforcement Learning under Distribution Shifts,"Tobias Enders, James Harrison, Maximilian Schiffer","We study the robustness of deep reinforcement learning algorithms against distribution shifts within contextual multi-stage stochastic combinatorial optimization problems from the operations research domain. In this context, risk-sensitive algorithms promise to learn robust policies. While this field is of general interest to the reinforcement learning community, most studies up-to-date focus on theoretical results rather than real-world performance. With this work, we aim to bridge this gap by formally deriving a novel risk-sensitive deep reinforcement learning algorithm while providing numerical evidence for its efficacy. Specifically, we introduce discrete Soft Actor-Critic for the entropic risk measure by deriving a version of the Bellman equation for the respective Q-values. We establish a corresponding policy improvement result and infer a practical algorithm. We introduce an environment that represents typical contextual multi-stage stochastic combinatorial optimization problems and perform numerical experiments to empirically validate our algorithm's robustness against realistic distribution shifts, without compromising performance on the training distribution. We show that our algorithm is superior to risk-neutral Soft Actor-Critic as well as to two benchmark approaches for robust deep reinforcement learning. Thereby, we provide the first structured analysis on the robustness of reinforcement learning under distribution shifts in the realm of contextual multi-stage stochastic combinatorial optimization problems.",https://www.semanticscholar.org/paper/Risk-Sensitive-Soft-Actor-Critic-for-Robust-Deep-Enders-Harrison/64a77a96c35261321b106387f53c2b1dfd1506da
Machine Learning and Hamilton-Jacobi-Bellman Equation for Optimal Decumulation: a Comparison Study,"Marc-André P. Chen, M. Shirazi, P. Forsyth, Yuying Li","We propose a novel data-driven neural network (NN) optimization framework for solving an optimal stochastic control problem under stochastic constraints. Customized activation functions for the output layers of the NN are applied, which permits training via standard unconstrained optimization. The optimal solution yields a multi-period asset allocation and decumulation strategy for a holder of a defined contribution (DC) pension plan. The objective function of the optimal control problem is based on expected wealth withdrawn (EW) and expected shortfall (ES) that directly targets left-tail risk. The stochastic bound constraints enforce a guaranteed minimum withdrawal each year. We demonstrate that the data-driven approach is capable of learning a near-optimal solution by benchmarking it against the numerical results from a Hamilton-Jacobi-Bellman (HJB) Partial Differential Equation (PDE) computational framework.",https://www.semanticscholar.org/paper/Machine-Learning-and-Hamilton-Jacobi-Bellman-for-a-Chen-Shirazi/5ac4253a12ac0713937dbc75c9bd457cc75e4b6a
Bellman Meets Hawkes: Model-Based Reinforcement Learning via Temporal Point Processes,"C. Qu, Xiaoyu Tan, Siqiao Xue, X. Shi, James Zhang, Hongyuan Mei","We consider a sequential decision making problem where the agent faces the environment characterized by the stochastic discrete events and seeks an optimal intervention policy such that its long-term reward is maximized. This problem exists ubiquitously in social media, finance and health informatics but is rarely investigated by the conventional research in reinforcement learning. To this end, we present a novel framework of the model-based reinforcement learning where the agent's actions and observations are asynchronous stochastic discrete events occurring in continuous-time. We model the dynamics of the environment by Hawkes process with external intervention control term and develop an algorithm to embed such process in the Bellman equation which guides the direction of the value gradient. We demonstrate the superiority of our method in both synthetic simulator and real-data experiments.",https://www.semanticscholar.org/paper/Bellman-Meets-Hawkes%3A-Model-Based-Reinforcement-via-Qu-Tan/7cf779d889dbf155e089289bab1495be2b186b11
Distributional Reinforcement Learning for Risk-Sensitive Policies,"Shiau Hong Lim, Ilyas Malik","We address the problem of learning a risk-sensitive policy based on the CVaR risk measure using distributional reinforcement learning. In particular, we show that the standard action-selection strategy when applying the distributional Bellman optimality operator can result in convergence to neither the dynamic, Markovian CVaR nor the static, non-Markovian CVaR. We propose modiﬁcations to the existing algorithms that include a new distributional Bellman operator and show that the proposed strategy greatly expands the utility of distributional RL in learning and representing CVaR-optimized policies. Our proposed approach is a simple extension of standard distributional RL algorithms and can therefore take advantage of many of the recent advances in deep RL. On both synthetic and real data, we empirically show that our proposed algorithm is able to learn better CVaR-optimized policies",https://www.semanticscholar.org/paper/Distributional-Reinforcement-Learning-for-Policies-Lim-Malik/d1164285427613fa70132d2756347555984e828a
Model-Free Characterizations of the Hamilton-Jacobi-Bellman Equation and Convex Q-Learning in Continuous Time,"F. Lu, J. Mathias, Sean P. Meyn, K. Kalsi","Convex Q-learning is a recent approach to reinforcement learning, motivated by the possibility of a ﬁrmer theory for convergence, and the possibility of making use of greater a priori knowledge regarding policy or value function structure. This paper explores algorithm design in the continuous time domain, with ﬁnite-horizon optimal control objective. The main contributions are (i) Algorithm design is based on a new Q-ODE , which deﬁnes the model-free characterization of the Hamilton-Jacobi-Bellman equation. (ii) The Q-ODE motivates a new formulation of Convex Q-learning that avoids the approximations appearing in prior work. The Bellman error used in the algorithm is deﬁned by ﬁltered measurements, which is beneﬁcial in the presence of measurement noise. (iii) A characterization of boundedness of the constraint region is obtained through a non-trivial extension of recent results from the discrete time setting. (iv) The theory is illustrated in application to resource allocation for distributed energy resources, for which the theory is ideally suited.",https://www.semanticscholar.org/paper/Model-Free-Characterizations-of-the-Equation-and-in-Lu-Mathias/97b25715fa1df6322776778b8d71996e2d2d0535
Finite Sample Analysis of Mean-Volatility Actor-Critic for Risk-Averse Reinforcement Learning,"Khaled Eldowa, L. Bisi, Marcello Restelli","The goal in the standard reinforcement learning problem is to find a policy that optimizes the expected return. However, such an ob-jective is not adequate in a lot of real-life applications, like finance, where controlling the uncertainty of the outcome is imperative. The mean-volatility objective penalizes, through a tunable parameter, policies with high variance of the per-step reward. An interesting property of this objective is that it admits simple linear Bellman equations that resemble, up to a reward transformation, those of the risk-neutral case. However, the required reward transformation is policy-dependent, and requires the (usually unknown) expected return of the used policy. In this work, we propose two general meth-ods for policy evaluation under the mean-volatility objective: the direct method and the factored method. We then extend recent results for finite sample analysis in the risk-neutral actor-critic setting to the mean-volatility case. Our analysis shows that the sample complexity to attain an ϵ -accurate stationary point is the same as that of the risk-neutral version, using either policy evaluation method for training the critic. Finally, we carry out experiments to test the proposed methods in a simple environment that exhibits some trade-off between optimality, in expectation, and uncertainty of outcome.",https://www.semanticscholar.org/paper/Finite-Sample-Analysis-of-Mean-Volatility-for-Eldowa-Bisi/670c8e9c4b7f673b97efd4fe0e0d6379c0522f7b
Risk-Averse Reinforcement Learning via Dynamic Time-Consistent Risk Measures,"Xian Yu, Siqian Shen","Traditional reinforcement learning (RL) aims to maximize the expected total reward, while the risk of uncertain outcomes needs to be controlled to ensure reliable performance in a risk-averse setting. In this paper, we consider the problem of maximizing dynamic risk of a sequence of rewards in infinite-horizon Markov Decision Processes (MDPs). We adapt the Expected Conditional Risk Measures (ECRMs) to the infinite-horizon risk-averse MDP and prove its time consistency. Using a convex combination of expectation and conditional value-at-risk (CVaR) as a special one-step conditional risk measure, we reformulate the risk-averse MDP as a risk-neutral counterpart with augmented action space and manipulation on the immediate rewards. We further prove that the related Bellman operator is a contraction mapping, which guarantees the convergence of any value-based RL algorithms. Accordingly, we develop a risk-averse deep Q-learning framework, and our numerical studies based on two simple MDPs show that the risk-averse setting can reduce the variance and enhance robustness of the results.",https://www.semanticscholar.org/paper/Risk-Averse-Reinforcement-Learning-via-Dynamic-Risk-Yu-Shen/497cb33421ba712d4ec4270037db51962972fae5
Uncertainty-Aware Reinforcement Learning for Risk-Sensitive Player Evaluation in Sports Game,"Guiliang Liu, Yudong Luo, O. Schulte, P. Poupart","A major task of sports analytics is player evaluation. Previous methods commonly measured the impact of players’ actions on desirable outcomes (e.g., goals or winning) without considering the risk induced by stochastic game dynamics. In this paper, we design an uncertainty-aware Reinforcement Learning (RL) framework to learn a risk-sensitive player evaluation metric from stochastic game dynamics. To embed the risk of a player’s movements into the distribution of action-values, we model their 1) aleatoric uncertainty , which represents the intrinsic stochasticity in a sports game, and 2) epistemic uncertainty , which is due to a model’s insufﬁcient knowledge regarding Out-of-Distribution (OoD) samples. We demonstrate how a distributional Bellman operator and a feature-space density model can capture these uncertainties. Based on such uncertainty estimation, we propose a Risk-sensitive Game Impact Metric (RiGIM) that measures players’ performance over a season by conditioning on a speciﬁc conﬁdence level. Empirical evaluation, based on over 9M play-by-play ice hockey and soccer events, shows that RiGIM correlates highly with standard success measures and has a consistent risk sensitivity.",https://www.semanticscholar.org/paper/Uncertainty-Aware-Reinforcement-Learning-for-Player-Liu-Luo/7d4b8e25861f0813d16784a5f679930b364df0a0
Prescribed-Time Formation Control for a Class of Multiagent Systems via Fuzzy Reinforcement Learning,"Yan Zhang, M. Chadli, Z. Xiang","This article concerns optimal prescribed-time formation control for a class of nonlinear multiagent systems (MASs). Optimal control depends on the solution of the Hamilton–Jacobi–Bellman equation, which is hard to be calculated directly due to its inherent nonlinearity. To overcome this difficulty, the reinforcement learning strategy with fuzzy logic systems is proposed, in which identifier, actor, and critic are used to estimate unknown nonlinear dynamics, implement control behavior, and evaluate system performance, respectively. Different from the existing optimal control algorithms, a new performance index function considering formation error cost and control input energy cost is constructed to achieve optimal formation control of MASs within a prescribed time. The presented control strategy can ensure that the formation error converges to the desired accuracy within a prescribed time. Finally, the validity of the presented strategy is verified via a simulation example.",https://www.semanticscholar.org/paper/Prescribed-Time-Formation-Control-for-a-Class-of-Zhang-Chadli/dc1ff8a137bc96f8959e81f2df5e9192e85b5dcb
Risk Bounds and Rademacher Complexity in Batch Reinforcement Learning,"Yaqi Duan, Chi Jin, Zhiyuan Li","This paper considers batch Reinforcement Learning (RL) with general value function approximation. Our study investigates the minimal assumptions to reliably estimate/minimize Bellman error, and characterizes the generalization performance by (local) Rademacher complexities of general function classes, which makes initial steps in bridging the gap between statistical learning theory and batch RL. Concretely, we view the Bellman error as a surrogate loss for the optimality gap, and prove the followings: (1) In double sampling regime, the excess risk of Empirical Risk Minimizer (ERM) is bounded by the Rademacher complexity of the function class. (2) In the single sampling regime, sample-efficient risk minimization is not possible without further assumptions, regardless of algorithms. However, with completeness assumptions, the excess risk of FQI and a minimax style algorithm can be again bounded by the Rademacher complexity of the corresponding function classes. (3) Fast statistical rates can be achieved by using tools of local Rademacher complexity. Our analysis covers a wide range of function classes, including finite classes, linear spaces, kernel spaces, sparse linear features, etc.",https://www.semanticscholar.org/paper/Risk-Bounds-and-Rademacher-Complexity-in-Batch-Duan-Jin/2adfead37e5fba25cdcde27c31dca117e0b1e2f0
Choquet Regularization for Continuous-Time Reinforcement Learning,"Xia Han, Ruodu Wang, Xun Yu Zhou",". We propose Choquet regularizers to measure and manage the level of exploration for 4 reinforcement learning (RL), and reformulate the continuous-time entropy-regularized RL problem 5 of [47] in which we replace the differential entropy used for regularization with a Choquet regular-6 izer. We derive the Hamilton–Jacobi–Bellman equation of the problem, and solve it explicitly in 7 the linear–quadratic (LQ) case via maximizing statically a mean–variance constrained Choquet reg-8 ularizer. Under the LQ setting, we derive explicit optimal distributions for several specific Choquet 9 regularizers, and conversely identify the Choquet regularizers that generate a number of broadly used 10 exploratory samplers such as ε -greedy,",https://www.semanticscholar.org/paper/Choquet-Regularization-for-Continuous-Time-Learning-Han-Wang/627297f94864d00b796813cfebf6819af145465f
Physical Deep Reinforcement Learning: Safety and Unknown Unknowns,"H. Cao, Y. Mao, L. Sha, M. Caccamo","In this paper, we propose the Phy-DRL: a physics-model-regulated deep reinforcement learning framework for safety-critical autonomous systems. The Phy-DRL is unique in three innovations: i) proactive unknown-unknowns training, ii) conjunctive residual control (i.e., integration of data-driven control and physics-model-based control) and safety- \&stability-sensitive reward, and iii) physics-model-based neural network editing, including link editing and activation editing. Thanks to the concurrent designs, the Phy-DRL is able to 1) tolerate unknown-unknowns disturbances, 2) guarantee mathematically provable safety and stability, and 3) strictly comply with physical knowledge pertaining to Bellman equation and reward. The effectiveness of the Phy-DRL is finally validated by an inverted pendulum and a quadruped robot. The experimental results demonstrate that compared with purely data-driven DRL, Phy-DRL features remarkably fewer learning parameters, accelerated training and enlarged reward, while offering enhanced model robustness and safety assurance.",https://www.semanticscholar.org/paper/Physical-Deep-Reinforcement-Learning%3A-Safety-and-Cao-Mao/2726451ddd17c0e858572943b7937898d22e31cd
On solutions of the distributional Bellman equation,"Julian Gerstenberg, Ralph Neininger, Denis Spiegel","In distributional reinforcement learning (RL), not only expected returns but the complete return distributions of a policy are taken into account. The return distribution for a fixed policy is given as the solution of an associated distributional Bellman equation. In this note, we consider general distributional Bellman equations and study the existence and uniqueness of their solutions, as well as tail properties of return distributions. We give necessary and sufficient conditions for the existence and uniqueness of return distributions and identify cases of regular variation. We link distributional Bellman equations to multivariate affine distributional equations. We show that any solution of a distributional Bellman equation can be obtained as the vector of marginal laws of a solution to a multivariate affine distributional equation. This makes the general theory of such equations applicable to the distributional reinforcement learning setting.",https://www.semanticscholar.org/paper/On-solutions-of-the-distributional-Bellman-equation-Gerstenberg-Neininger/a98a59d4e9c54f9aebf03a661ec5ccdae7b9bb64
Robust dynamic event‐triggered control of saturated nonlinear systems using reinforcement learning,"Wenqian Zheng, Xiong Yang","We develop a robust dynamic event‐triggered control (ETC) law for asymmetrically input‐saturated nonlinear systems having matched disturbances. Initially, by constructing a novel cost function for the associated nominal system, we transform the constrained robust stabilization problem into an unconstrained optimal control problem. Then, we propose a dynamic event‐triggering rule for improving the performance in reducing the computational burden. Based on such a dynamic triggering rule, we present the event‐triggered Hamilton‐Jacobi‐Bellman equation (ET‐HJBE). To solve the ET‐HJBE, we employ a critic approximator with its parameters being updated in the reinforcement learning framework. After that, we apply Lyapunov's direct method to prove uniform ultimate boundedness of the closed‐loop system and the critic approximator's parameter estimation error. Finally, we provide two nonlinear plants to validate the present dynamic ETC law.",https://www.semanticscholar.org/paper/Robust-dynamic-event%E2%80%90triggered-control-of-saturated-Zheng-Yang/7ba10b8539399b140f6a9ba0063fd4e2f09496e8
Mars powered descent phase guidance law based on reinforcement learning for collision avoidance,"Yao Zhang, Tianyi Zeng, Yanning Guo, G. Ma"," This paper proposes a reinforcement  learning ‐based guidance law for Mars powered descent phase, which is an effective online calculation method that handles the nonlinearity caused by the mass variation and avoids collisions. The reinforcement  learning method is designed to solve the constrained nonlinear optimization problem by using a critic neural network. Specifically, to cope with the position constraint (i.e., glide‐slope constraint) and the thrust force limit constraint, a modified cost function is proposed, and the associated Hamilton‐Jacobi‐ Bellman  equation is solved online without using an actor neural network, which significantly reduces the computational burden. The convergence of the critic neural network is proven. Simulation results show the effectiveness of the proposed method. ",https://www.semanticscholar.org/paper/Mars-powered-descent-phase-guidance-law-based-on-Zhang-Zeng/10a7c000407b1e8d072030e491c9e1a48caac025
Online Adaptive Integral Reinforcement Learning for Nonlinear Multi-Input System,"Yongfeng Lv, Huijuan Chang, Jun Zhao","In this brief article, a novel adaptive integral reinforcement learning (AIRL) scheme is proposed for the continuous-time (CT) system. Moreover, it is used to learn the optimal controls of the partially unknown multi-input nonlinear system. Firstly, the Nash equilibrium of multi-input is defined. Two neural networks (NN) are used to approximate the cost functions with the integral reinforcement signal, which can avoid directly solving the Hamilton–Jacobi–Bellman (HJB) equation such that dynamic information and derivatives of NN activations are not needed. Then, a novel learning algorithm is used to update the unknown NN weights. The studied weights are used to obtain the optimum multi-policies. The learned weight convergence is proved. Finally, two examples are presented to verify the system performance with the proposed AIRL scheme.",https://www.semanticscholar.org/paper/Online-Adaptive-Integral-Reinforcement-Learning-for-Lv-Chang/789d6669ae9dd4c5a263d6cc94b93ff4140913ca
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,"Outongyi Lv, Bingxin Zhou, Yu Wang","Modern reinforcement learning (RL) can be categorized into online and offline variants. As a pivotal aspect of both online and offline RL, current research on the Bellman equation revolves primarily around optimization techniques and performance enhancement rather than exploring the inherent structural properties of the Bellman error, such as its distribution characteristics. This study investigates the distribution of the Bellman approximation error in both online and offline settings through iterative exploration of the Bellman equation. We observed that both in online RL and offline RL, the Bellman error conforms to a Logistic distribution. Building upon this discovery, this study employed the Logistics maximum likelihood function (LLoss) as an alternative to the commonly used MSE Loss, assuming that Bellman errors adhere to a normal distribution. We validated our hypotheses through extensive numerical experiments across diverse online and offline environments. In particular, we applied corrections to the loss function across various baseline algorithms and consistently observed that the loss function with Logistic corrections outperformed the MSE counterpart significantly. Additionally, we conducted Kolmogorov-Smirnov tests to confirm the reliability of the Logistic distribution. This study's theoretical and empirical insights provide valuable groundwork for future investigations and enhancements centered on the distribution of Bellman errors.",https://www.semanticscholar.org/paper/LLQL%3A-Logistic-Likelihood-Q-Learning-for-Learning-Lv-Zhou/3e72a33046892c13fc8deaa3628e01dc518348e5
Input‐constrained optimal output synchronization of heterogeneous multiagent systems via observer‐based model‐free reinforcement learning,"Tengfei Zhang, Yingmin Jia","This paper presents a new formulation of input‐constrained optimal output synchronization problem and proposes an observer‐based distributed optimal control protocol for discrete‐time heterogeneous multiagent systems with input constraints via model‐free reinforcement learning. First, distributed adaptive observers are designed for all agents to estimate the leader's trajectory without requiring its dynamics knowledge. Subsequently, the optimal control input associated with the optimal value function is derived based on the solution to the tracking Hamilton‐Jacobi‐Bellman equation, which is always difficult to solve analytically. To this end, motivated by reinforcement learning technique, a model‐free Q‐learning policy iteration algorithm is proposed, and the actor‐critic neural network structure is implemented to iteratively find the optimal tracking control input without knowing system dynamics. Moreover, inputs of all agents are constrained in the permitted bounds by inserting a nonquadratic function into the performance function, where input constraints are encoded into the optimization problem. Finally, a numerical simulation example is provided to illustrate the effectiveness of the proposed theoretical results.",https://www.semanticscholar.org/paper/Input%E2%80%90constrained-optimal-output-synchronization-of-Zhang-Jia/1d79e52fe8cb41f27abcf62bee82f07058237241
